gain_to_exit,loose_to_exit,returns
0.46,0.61,30.2571
0.46,0.66,14.0932
0.46,0.71,-12.6153
0.46,0.76,-15.2817
0.46,0.81,-1.619
0.46,0.86,-1.619
0.46,0.91,-1.619
0.46,0.96,-1.619
0.46,1.01,-1.619
0.51,0.01,-38.3914
0.51,0.06,-53.445
0.51,0.11,-53.8429
0.51,0.16,-37.4083
0.51,0.21,-53.4564
0.51,0.26,83.9345
0.51,0.31,25.9448
0.51,0.36,23.2081
0.51,0.41,79.5742
0.51,0.46,7.9561
0.51,0.51,72.9146
0.51,0.56,66.9506
0.51,0.61,48.4711
0.51,0.66,30.047
0.51,0.71,-3.013
0.51,0.76,-15.2817
0.51,0.81,-1.619
0.51,0.86,-1.619
0.51,0.91,-1.619
0.51,0.96,-1.619
0.51,1.01,-1.619
0.56,0.01,-38.3914
0.56,0.06,-53.1212
0.56,0.11,-52.0632
0.56,0.16,-34.995
0.56,0.21,-51.6619
0.56,0.26,92.4548
0.56,0.31,31.7788
0.56,0.36,28.9154
0.56,0.41,87.8925
0.56,0.46,12.1767
0.56,0.51,79.6747
0.56,0.56,73.4775
0.56,0.61,54.2755
0.56,0.66,35.1311
0.56,0.71,0.7787
0.56,0.76,-14.1284
0.56,0.81,-0.2796
0.56,0.86,-0.2796
0.56,0.91,-0.2796
0.56,0.96,-0.2796
0.56,1.01,-0.2796
0.61,0.01,-36.2027
0.61,0.06,-49.5038
0.61,0.11,-46.1204
0.61,0.16,-26.9362
0.61,0.21,-45.6693
0.61,0.26,118.2142
0.61,0.31,49.4169
0.61,0.36,46.1702
0.61,0.41,113.0412
0.61,0.46,22.2745
0.61,0.51,95.8485
0.61,0.56,89.0934
0.61,0.61,68.163
0.61,0.66,47.2953
0.61,0.71,13.7531
0.61,0.76,-11.0239
0.61,0.81,3.3255
0.61,0.86,3.3255
0.61,0.91,3.3255
0.61,0.96,3.3255
0.61,1.01,3.3255
0.66,0.01,-36.0523
0.66,0.06,-51.8044
0.66,0.11,-36.7629
0.66,0.16,1.1856
0.66,0.21,-33.2186
0.66,0.26,149.092
0.66,0.31,81.7486
0.66,0.36,81.1765
0.66,0.41,41.0696
0.66,0.46,33.4931
0.66,0.51,114.8465
0.66,0.56,106.1065
0.66,0.61,84.6026
0.66,0.66,56.0451
0.66,0.71,21.2109
0.66,0.76,-8.0763
0.66,0.81,6.7485
0.66,0.86,6.7485
0.66,0.91,6.7485
0.66,0.96,6.7485
0.66,1.01,6.7485
0.71,0.01,-33.0193
0.71,0.06,-49.5185
0.71,0.11,-32.6237
0.71,0.16,7.8087
0.71,0.21,-28.8475
0.71,0.26,67.6737
0.71,0.31,22.3422
0.71,0.36,21.9571
0.71,0.41,-3.5288
0.71,0.46,-10.1405
0.71,0.51,44.6217
0.71,0.56,38.7385
0.71,0.61,24.2633
0.71,0.66,5.0402
0.71,0.71,-17.1093
0.71,0.76,-2.9957
0.71,0.81,6.831
0.71,0.86,6.831
0.71,0.91,6.831
0.71,0.96,6.831
0.71,1.01,6.831
0.76,0.01,-25.4355
0.76,0.06,-43.8028
0.76,0.11,-23.3785
0.76,0.16,22.602
0.76,0.21,-19.0841
0.76,0.26,78.0289
0.76,0.31,29.8978
0.76,0.36,29.489
0.76,0.41,9.7087
0.76,0.46,-4.5909
0.76,0.51,53.5533
0.76,0.56,47.3067
0.76,0.61,31.9376
0.76,0.66,11.5273
0.76,0.71,-5.7352
0.76,0.76,-1.3263
0.76,0.81,8.6695
0.76,0.86,8.6695
0.76,0.91,8.6695
0.76,0.96,8.6695
0.76,1.01,8.6695
0.81,0.01,-25.4355
0.81,0.06,-43.8028
0.81,0.11,-21.0028
0.81,0.16,26.4033
0.81,0.21,-16.5753
0.81,0.26,83.5487
0.81,0.31,33.9253
0.81,0.36,33.5038
0.81,0.41,13.1103
0.81,0.46,-1.6327
0.81,0.51,58.3142
0.81,0.56,51.874
0.81,0.61,36.0284
0.81,0.66,14.9852
0.81,0.71,-2.8125
0.81,0.76,0.8004
0.81,0.81,11.0116
0.81,0.86,11.0116
0.81,0.91,11.0116
0.81,0.96,11.0116
0.81,1.01,11.0116
0.86,0.01,-25.4355
0.86,0.06,-43.8028
0.86,0.11,-18.8185
0.86,0.16,29.8984
0.86,0.21,-14.2686
0.86,0.26,98.8796
0.86,0.31,45.1114
0.86,0.36,44.6547
0.86,0.41,16.2378
0.86,0.46,6.5834
0.86,0.51,71.5374
0.86,0.56,64.5592
0.86,0.61,47.3901
0.86,0.66,24.5893
0.86,0.71,-0.1252
0.86,0.76,3.9257
0.86,0.81,14.4536
0.86,0.86,14.4536
0.86,0.91,14.4536
0.86,0.96,14.4536
0.86,1.01,14.4536
0.91,0.01,-25.4355
