gain_to_exit,loose_to_exit,returns
0.46,0.56,-55.4625
0.46,0.61,-70.3283
0.46,0.66,-88.7788
0.46,0.71,-86.7369
0.46,0.76,-85.4305
0.46,0.81,-67.0885
0.46,0.86,-67.0885
0.46,0.91,-67.0885
0.46,0.96,-67.0885
0.46,1.01,-67.0885
0.51,0.01,-3.8661
0.51,0.06,-88.1025
0.51,0.11,-76.6811
0.51,0.16,-90.7283
0.51,0.21,-93.0091
0.51,0.26,-77.5851
0.51,0.31,-83.2684
0.51,0.36,-84.5671
0.51,0.41,-82.5356
0.51,0.46,-82.2983
0.51,0.51,-53.7742
0.51,0.56,-46.5158
0.51,0.61,-65.0093
0.51,0.66,-87.2448
0.51,0.71,-86.4251
0.51,0.76,-85.0879
0.51,0.81,-67.0885
0.51,0.86,-67.0885
0.51,0.91,-67.0885
0.51,0.96,-67.0885
0.51,1.01,-67.0885
0.56,0.01,0.1111
0.56,0.06,-87.6103
0.56,0.11,-75.5461
0.56,0.16,-90.2771
0.56,0.21,-92.6688
0.56,0.26,-76.3227
0.56,0.31,-82.326
0.56,0.36,-83.698
0.56,0.41,-81.552
0.56,0.46,-81.3014
0.56,0.51,-49.454
0.56,0.56,-41.5174
0.56,0.61,-61.7392
0.56,0.66,-86.5264
0.56,0.71,-85.7643
0.56,0.76,-84.3621
0.56,0.81,-67.0885
0.56,0.86,-67.0885
0.56,0.91,-67.0885
0.56,0.96,-67.0885
0.56,1.01,-67.0885
0.61,0.01,39.7359
0.61,0.06,-82.7064
0.61,0.11,-68.2946
0.61,0.16,-86.848
0.61,0.21,-89.3475
0.61,0.26,-76.2228
0.61,0.31,-81.0133
0.61,0.36,-80.9575
0.61,0.41,-87.5993
0.61,0.46,-86.1941
0.61,0.51,-62.1113
0.61,0.56,-55.7654
0.61,0.61,-53.9971
0.61,0.66,-84.5969
0.61,0.71,-85.286
0.61,0.76,-83.2702
0.61,0.81,-67.0885
0.61,0.86,-67.0885
0.61,0.91,-67.0885
0.61,0.96,-67.0885
0.61,1.01,-67.0885
0.66,0.01,42.351
0.66,0.06,-82.3827
0.66,0.11,-67.7012
0.66,0.16,-86.6019
0.66,0.21,-89.1481
0.66,0.26,-75.5354
0.66,0.31,-80.4644
0.66,0.36,-80.407
0.66,0.41,-87.2408
0.66,0.46,-85.7949
0.66,0.51,-46.6451
0.66,0.56,-37.7088
0.66,0.61,-54.1149
0.66,0.66,-84.0324
0.66,0.71,-85.286
0.66,0.76,-83.2702
0.66,0.81,-67.0885
0.66,0.86,-67.0885
0.66,0.91,-67.0885
0.66,0.96,-67.0885
0.66,1.01,-67.0885
0.71,0.01,46.7085
0.71,0.06,-81.8435
0.71,0.11,-66.3659
0.71,0.16,-86.048
0.71,0.21,-88.6994
0.71,0.26,-74.2183
0.71,0.31,-79.4126
0.71,0.36,-79.3521
0.71,0.41,-86.5539
0.71,0.46,-85.0302
0.71,0.51,-67.1268
0.71,0.56,-61.6209
0.71,0.61,-71.7291
0.71,0.66,-89.8608
0.71,0.71,-85.1327
0.71,0.76,-83.0959
0.71,0.81,-67.0885
0.71,0.86,-67.0885
0.71,0.91,-67.0885
0.71,0.96,-67.0885
0.71,1.01,-67.0885
0.76,0.01,59.5894
0.76,0.06,-80.2493
0.76,0.11,-61.2103
0.76,0.16,-83.9093
0.76,0.21,-86.9673
0.76,0.26,-71.4583
0.76,0.31,-77.2087
0.76,0.36,-77.1417
0.76,0.41,-85.1145
0.76,0.46,-83.4276
0.76,0.51,-65.1478
0.76,0.56,-59.3106
0.76,0.61,-70.0272
0.76,0.66,-88.3067
0.76,0.71,-90.5245
0.76,0.76,-89.5911
0.76,0.81,-67.0885
0.76,0.86,-67.0885
0.76,0.91,-67.0885
0.76,0.96,-67.0885
0.76,1.01,-67.0885
0.81,0.01,59.5894
0.81,0.06,-80.2493
0.81,0.11,-61.2103
0.81,0.16,-83.9093
0.81,0.21,-86.9673
0.81,0.26,-71.4583
0.81,0.31,-77.2087
